DJ Name,Stage,China Start Time,China End Time,China Date,China Day of Week,Duration (minutes)
LAURA VAN DAM,quantumVALLEY,11:00,12:00,2025-05-19,星期一,60
MISS MONIQUE,quantumVALLEY,12:00,13:00,2025-05-19,星期一,60
CHRIS AVANTGARDE,quantumVALLEY,13:00,14:00,2025-05-19,星期一,60
PRETTY PINK,quantumVALLEY,14:00,15:00,2025-05-19,星期一,60
KOROLOVA,quantumVALLEY,15:00,16:00,2025-05-19,星期一,60
COSMIC GATE,quantumVALLEY,16:00,17:00,2025-05-19,星期一,60
ARTBAT,quantumVALLEY,17:00,18:00,2025-05-19,星期一,60
ADDEES,quantumVALLEY,18:00,19:15,2025-05-19,星期一,75
PAUL KALKBRENNER (LIVE),quantumVALLEY,19:15,20:30,2025-05-19,星期一,75
RACCOLA,stereoBLOOM,10:00,11:00,2025-05-19,星期一,60
AZZECCA,stereoBLOOM,11:00,12:00,2025-05-19,星期一,60
ROCKET B2B SAM WOLFE,stereoBLOOM,12:00,13:00,2025-05-19,星期一,60
ELI & FUR,stereoBLOOM,13:00,14:00,2025-05-19,星期一,60
SONNY FODERA & JOYCE WRİCE,stereoBLOOM,14:00,15:00,2025-05-19,星期一,60
CRİMMİNAL,stereoBLOOM,15:00,16:00,2025-05-19,星期一,60
FRANKY WAH,stereoBLOOM,16:00,17:00,2025-05-19,星期一,60
MARCO STRİOUS,stereoBLOOM,17:00,18:00,2025-05-19,星期一,60
ANNA,stereoBLOOM,18:00,19:15,2025-05-19,星期一,75
CLAPTONE,stereoBLOOM,19:15,20:30,2025-05-19,星期一,75
BUGGI,bionicJUNGLE,10:00,11:00,2025-05-19,星期一,60
MARCO LYS,bionicJUNGLE,11:00,12:00,2025-05-19,星期一,60
HONEYLUV B2B JOSH KNIGHT,bionicJUNGLE,12:00,13:00,2025-05-19,星期一,60
BAKER B2B JOSH BAKER,bionicJUNGLE,13:00,14:00,2025-05-19,星期一,60
BEN STERLING B2B DENNIS CRUZ,bionicJUNGLE,14:00,15:30,2025-05-19,星期一,90
IBN INGLOR B2B NOİZU,bionicJUNGLE,15:30,17:00,2025-05-19,星期一,90
BEN STERLING B2B CHLOE ROBİNSON,bionicJUNGLE,17:00,18:30,2025-05-19,星期一,90
HONEY DIJON,bionicJUNGLE,18:30,20:00,2025-05-19,星期一,90
LOCO DICE B2B FISHER,bionicJUNGLE,20:00,21:30,2025-05-19,星期一,90
DREZEMY,ubuntu,10:00,11:00,2025-05-19,星期一,60
SHERMANOLOGY (LIVE),ubuntu,11:00,12:00,2025-05-19,星期一,60
NOIZU,ubuntu,12:00,13:00,2025-05-19,星期一,60
UNCLE WAFFLES,ubuntu,13:00,14:00,2025-05-19,星期一,60
ODEN & FATZO (LIVE),ubuntu,14:00,15:00,2025-05-19,星期一,60
MASSAİ,ubuntu,15:00,16:00,2025-05-19,星期一,60
MADDY X FİZZİ,ubuntu,16:00,17:30,2025-05-19,星期一,90
HONEYLUV,ubuntu,17:30,19:00,2025-05-19,星期一,90
LOUIE VEGA,ubuntu,19:00,20:30,2025-05-19,星期一,90
ASSEMBLY,forestHOUSE,10:00,11:00,2025-05-19,星期一,60
CIDCO'S JAM,forestHOUSE,11:00,12:00,2025-05-19,星期一,60
TIM CLAIR,forestHOUSE,12:00,13:00,2025-05-19,星期一,60
AMÉMÉ B2B BARON,forestHOUSE,13:00,14:00,2025-05-19,星期一,60
FERRECK DAWN,forestHOUSE,14:00,15:00,2025-05-19,星期一,60
HANNAH WANTS,forestHOUSE,15:00,16:00,2025-05-19,星期一,60
NOIZU B2B WESTEND,forestHOUSE,16:00,17:30,2025-05-19,星期一,90
LIMBO/SLYCK,forestHOUSE,17:30,19:00,2025-05-19,星期一,90
DENNIS FERRER,forestHOUSE,19:00,20:30,2025-05-19,星期一,90
SHOW DADDY,beatboxARTCAR,10:00,11:00,2025-05-19,星期一,60
ASSEMBLY,beatboxARTCAR,11:00,12:00,2025-05-19,星期一,60
MISS DRE,beatboxARTCAR,12:00,13:00,2025-05-19,星期一,60
NIGHT FUNK,beatboxARTCAR,13:00,14:00,2025-05-19,星期一,60
YVNNAH'S AVTR,beatboxARTCAR,14:00,15:00,2025-05-19,星期一,60
DEVAULT,beatboxARTCAR,15:00,16:00,2025-05-19,星期一,60
VILOW,beatboxARTCAR,16:00,17:00,2025-05-19,星期一,60
MALİXE,beatboxARTCAR,17:00,18:00,2025-05-19,星期一,60
TRİCKSTAR,beatboxARTCAR,18:00,19:15,2025-05-19,星期一,75
AUTOGRAF,beatboxARTCAR,19:15,20:30,2025-05-19,星期一,75
SARAH DE WARREN,metaPHOENIX,10:00,11:00,2025-05-19,星期一,60
BUGGI,metaPHOENIX,11:00,12:00,2025-05-19,星期一,60
GØDDESS,metaPHOENIX,12:00,13:00,2025-05-19,星期一,60
VEIL,metaPHOENIX,13:00,14:00,2025-05-19,星期一,60
LAYZ,metaPHOENIX,14:00,15:00,2025-05-19,星期一,60
KAYZO,metaPHOENIX,15:00,16:00,2025-05-19,星期一,60
JESSICA AUDIFFRED,metaPHOENIX,16:00,17:00,2025-05-19,星期一,60
A HUNDRED DRUMS,metaPHOENIX,17:00,18:00,2025-05-19,星期一,60
KANİNE,metaPHOENIX,18:00,19:15,2025-05-19,星期一,75
DİON TİMMER,metaPHOENIX,19:15,20:30,2025-05-19,星期一,75
GOBY NIGGS,yeeDCI,10:00,11:00,2025-05-19,星期一,60
BUDDY SALOON,yeeDCI,11:00,12:00,2025-05-19,星期一,60
REDTRUCK,yeeDCI,12:00,13:00,2025-05-19,星期一,60
KID CAMERICK,yeeDCI,13:00,14:00,2025-05-19,星期一,60
DUSTY SALOON,yeeDCI,14:00,15:00,2025-05-19,星期一,60
LINE DANCING,yeeDCI,15:00,15:45,2025-05-19,星期一,45
STEAMPUNK SALOON,yeeDCI,15:45,16:45,2025-05-19,星期一,60
WHISKEY QUEENS,yeeDCI,16:45,17:45,2025-05-19,星期一,60
BROWY,yeeDCI,17:45,18:45,2025-05-19,星期一,60
CADILLAC QUEERS,yeeDCI,18:45,19:45,2025-05-19,星期一,60
DR FRESCH,yeeDCI,19:45,20:30,2025-05-19,星期一,45
BI KNOWS,blacklightBAR,10:00,11:00,2025-05-19,星期一,60
NASCIO,blacklightBAR,11:00,12:00,2025-05-19,星期一,60
TRIPP LOU,blacklightBAR,12:00,13:00,2025-05-19,星期一,60
AMBER NAOMI,blacklightBAR,13:00,14:00,2025-05-19,星期一,60
RAIZIEL,blacklightBAR,14:00,15:00,2025-05-19,星期一,60
OMNOM,blacklightBAR,15:00,16:00,2025-05-19,星期一,60
DJ SUSAN B2B CZ,blacklightBAR,16:00,17:00,2025-05-19,星期一,60
TIM UNDERSCORE,blacklightBAR,17:00,18:00,2025-05-19,星期一,60
AZZECCA,blacklightBAR,18:00,19:15,2025-05-19,星期一,75
ELI BROWN,blacklightBAR,19:15,20:30,2025-05-19,星期一,75
